mobility_exp,noise_amp,phase_exit_step,final_p_hat,final_G,final_L,structures
0.5,0.01,84,0.1092,0.00094,1062.77,1302
0.5,0.02,84,0.109,0.00181,551.64,1274
0.5,0.05,250,0.1085,0.00448,223.41,1249
0.5,0.1,None,0.1076,0.00893,111.98,1244
1.0,0.01,167,0.1092,0.00098,1018.1,1264
1.0,0.02,167,0.109,0.00187,534.87,1262
1.0,0.05,333,0.1085,0.0046,217.43,1262
1.0,0.1,None,0.1076,0.00917,109.07,1249
2.0,0.01,167,0.1092,0.00108,922.7,1220
2.0,0.02,167,0.109,0.002,500.66,1254
2.0,0.05,416,0.1085,0.00486,205.73,1246
2.0,0.1,None,0.1077,0.00967,103.4,1249
4.0,0.01,333,0.1093,0.00139,720.34,1182
4.0,0.02,333,0.1092,0.00233,429.16,1205
4.0,0.05,None,0.1086,0.00546,183.03,1249
4.0,0.1,None,0.1079,0.01081,92.54,1248
